15;POLARIS 40 WP;Membrillo;Psílido del peral;Cacopsylla pyri;80 - 100 g/100L;Carencia Membrillo 30 dias.;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
16;POLARIS 40 WP;Damasco;Escama de San José;Diaspidiotus perniciosus;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
17;POLARIS 40 WP;Damasco;Polilla oriental de la fruta;Cydia molesta;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
18;POLARIS 40 WP;Damasco;Pulgón verde del duraznero;Myzus persicae ;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
19;POLARIS 40 WP;Damasco;Pulgón negro del duraznero;Brachycaudus persicae;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
20;POLARIS 40 WP;Damasco;Trips californiano;Frankliniella occidentalis;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
21;POLARIS 40 WP;Damasco;Burrito;Naupactus xanthographus;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
22;POLARIS 40 WP;Damasco;Chape del cerezo;Caliroa cerasi;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
23;POLARIS 40 WP;Ciruelo;Escama de San José;Diaspidiotus perniciosus;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
24;POLARIS 40 WP;Ciruelo;Polilla oriental de la fruta;Cydia molesta;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
25;POLARIS 40 WP;Ciruelo;Pulgón verde del duraznero;Myzus persicae ;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
26;POLARIS 40 WP;Ciruelo;Pulgón negro del duraznero;Brachycaudus persicae;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
27;POLARIS 40 WP;Ciruelo;Trips californiano;Frankliniella occidentalis;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
28;POLARIS 40 WP;Ciruelo;Burrito;Naupactus xanthographus;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
29;POLARIS 40 WP;Ciruelo;Chape del cerezo;Caliroa cerasi;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
30;POLARIS 40 WP;Nogal;Escama de San José;Diaspidiotus perniciosus;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
31;POLARIS 40 WP;Nogal;Polilla oriental de la fruta;Cydia molesta;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
32;POLARIS 40 WP;Nogal;Pulgón verde del duraznero;Myzus persicae ;100 g/100L;Cubrimientos sugerido 1500 L/ha;https://www.sag.gob.cl/sites/default/files/resol._renov._cbio._titular_agricola_nacional_s.a.c._e_i._a_anasac_s.a.__polaris_40_wp_-_anexo_folleto_polaris_40_wp_13-01-2017.pdf
